,words,tot_view
1391,家族,10461100
1392,套路,10455324
1393,咪,10454550
1394,崛起,10448400
1395,Lisa,10424019
1396,덤,10410060
1397,TheDonutDoctor,10397272
1398,感覺,10386250
1399,綜藝,10377184
1400,政治,10373946
1401,腹黑,10363720
1402,當年,10363720
1403,甜宠,10363720
1404,氣看,10363720
1405,蕭若元,10361468
1406,🙌,10343898
1407,蔡,10338957
1408,📊,10328049
1409,英雄,10319144
1410,비,10302228
1411,狈,10294165
1412,哥哥,10277330
1413,亂,10277330
1414,一招,10277330
1415,MAMA,10265765
1416,Kep1er,10265765
1417,112,10265765
1418,特,10257372
1419,五月天,10257372
1420,研究,10249422
1421,千年,10249422
1422,翻譯,10246545
1423,亞洲,10246545
1424,港人,10233792
1425,深,10233666
1426,李晨,10233666
1427,石頭,10226908
1428,邓超,10215824
1429,指,10176440
1430,狼,10161333
1431,忙,10154672
1432,爲,10123815
1433,帮,10059313
1434,鬼滅,10039472
1435,沒人,10027830
1436,法,10009638
1437,意義,10009638
1438,意,10009638
1439,宇,10009638
1440,十,10009638
1441,兒,10007648
1442,舞台,10004520
1443,🏂,9979681
1444,⛷,9979681
1445,嘅,9975060
1446,小佳麗,9958068
1447,仇,9958068
1448,ㄧ,9956488
1449,驚人,9899824
1450,風螢,9868488
1451,剧社,9845856
1452,銀行,9839580
1453,咁,9797320
1454,童年,9796260
1455,氏,9786654
1456,失,9786654
1457,找到,9783438
1458,LISA,9778958
1459,步美,9776574
1460,酷,9768696
1461,運,9768696
1462,賽,9768696
